"id";"X";"Y"
1;5;1
2;5;1
3;5;1
4;5;1
5;5;1
6;5;1
7;5;1
8;5;1
9;5;1
10;5;1
11;5;1
12;5;1
13;5;1
14;5;1
15;5;1
16;5;1
17;5;1
18;5;1
19;5;1
20;5;1
21;5;1
22;5;1
23;5;1
24;5;1
25;5;1
26;5;1
27;5;1
28;5;1
29;5;1
30;5;1
31;5;1
32;5;1
33;5;1
34;5;1
35;5;1
36;5;1
37;5;1
38;5;1
39;5;1
40;5;1
41;5;1
42;5;1
43;5;1
44;5;1
45;5;1
46;5;1
47;5;1
48;5;1
49;5;1
50;5;1
51;5;1
52;5;1
53;5;1
54;5;1
55;5;1
56;5;1
57;5;1
58;5;1
59;5;1
60;5;1
61;5;1
62;5;1
63;5;1
64;5;1
65;5;1
66;5;1
67;5;1
68;5;1
69;5;1
70;5;1
71;5;1
72;5;1
73;5;1
74;5;1
75;5;1
76;5;1
77;5;1
78;5;1
79;5;1
80;5;1
81;5;1
82;5;1
83;5;1
84;5;1
85;5;1
86;5;1
87;5;1
88;5;1
89;5;1
90;5;1
91;5;1
92;5;1
93;5;1
94;5;1
95;5;1
96;5;1
97;5;1
98;5;1
99;5;1
100;5;1
101;7;1
102;7;1
103;7;1
104;7;1
105;7;1
106;7;1
107;7;1
108;7;1
109;7;1
110;7;1
111;7;1
112;7;1
113;7;1
114;7;1
115;7;1
116;7;1
117;7;1
118;7;1
119;7;1
120;7;1
121;7;1
122;7;1
123;7;1
124;7;1
125;7;1
126;7;1
127;7;1
128;7;1
129;7;1
130;7;1
131;7;1
132;7;1
133;7;1
134;7;1
135;7;1
136;7;1
137;7;1
138;7;1
139;7;1
140;7;1
141;7;1
142;7;1
143;7;1
144;7;1
145;7;1
146;7;1
147;7;1
148;7;1
149;7;1
150;7;1
151;7;1
152;7;1
153;7;1
154;7;1
155;7;1
156;7;1
157;7;1
158;7;1
159;7;1
160;7;1
161;7;1
162;7;1
163;7;1
164;7;1
165;7;1
166;7;1
167;7;1
168;7;1
169;7;1
170;7;1
171;7;1
172;7;1
173;7;1
174;7;1
175;7;1
176;7;1
177;7;1
178;7;1
179;7;1
180;7;1
181;7;1
182;7;1
183;7;1
184;7;1
185;7;1
186;7;1
187;7;1
188;7;1
189;7;1
190;7;1
191;7;1
192;7;1
193;7;1
194;7;1
195;7;1
196;7;1
197;7;1
198;7;1
199;7;1
200;7;1
201;7;1
202;7;1
203;7;1
204;7;1
205;7;1
206;7;1
207;7;1
208;7;1
209;7;1
210;7;1
211;7;1
212;7;1
213;7;1
214;7;1
215;7;1
216;7;1
217;7;1
218;7;1
219;7;1
220;7;1
221;7;1
222;7;1
223;9;1
224;9;1
225;9;1
226;9;1
227;9;1
228;9;1
229;9;1
230;9;1
231;9;1
232;9;1
233;9;1
234;9;1
235;9;1
236;9;1
